"country","facebookUsers","pop2020"
"India","251000000","1380004.3850"
"United States","240000000","331002.6510"
"Brazil","139000000","212559.4170"
"Indonesia","136960000","273523.6150"
"Mexico","78000000","128932.7530"
"Philippines","71760000","109581.0780"
"Vietnam","66720000","97338.5790"
"Thailand","46000000","69799.9780"
"United Kingdom","44000000","67886.0110"
"Turkey","44000000","84339.0670"
"Egypt","42400000","102334.4040"
"Iran","40000000","83992.9490"
"Pakistan","37070000","220892.3400"
"Bangladesh","33713000","164689.3830"
"France","33000000","65273.5110"
"Germany","31000000","83783.9420"
"Argentina","30000000","45195.7740"
"Italy","30000000","60461.8260"
"Colombia","29000000","50882.8910"
"Japan","28000000","126476.4610"
"Nigeria","27120000","206139.5890"
"Malaysia","25520000","32365.9990"
"Saudi Arabia","23720000","34813.8710"
"Canada","23000000","37742.1540"
"Spain","23000000","46754.7780"
"Myanmar","22200000","54409.8000"
"South Korea","21836000","51269.1850"
"South Africa","21280000","59308.6900"
"Iraq","21276000","40222.4930"
"Peru","20000000","32971.8540"
"Taiwan","19190000","23816.7750"
"Algeria","19000000","43851.0440"
"Morocco","18330000","36910.5600"
"Australia","15000000","25499.8840"
"Poland","14000000","37846.6110"
"Russia","13100000","145934.4620"
"Chile","13000000","19116.2010"
"Venezuela","13000000","28435.9400"
"Nepal","10419000","29136.8080"
"Ecuador","10000000","17643.0540"
"Netherlands","9800000","17134.8720"
"Ukraine","9500000","43733.7620"
"Kazakhstan","9246000","18776.7070"
"Romania","8900000","19237.6910"
"United Arab Emirates","8737000","9890.4020"
"Cambodia","7810000","16718.9650"
"Syria","7609286","17500.6580"
"Tunisia","7445000","11818.6190"
"Kenya","7000000","53771.2960"
"Guatemala","6800000","17915.5680"
"Belgium","6500000","11589.6230"
"Sri Lanka","6428000","21413.2490"
"Sweden","6300000","10099.2650"
"Bolivia","6100000","11673.0210"
"Ethiopia","6007000","114963.5880"
"Israel","5877000","8655.5350"
"Portugal","5800000","10196.7090"
"Jordan","5755000","10203.1340"
"Hong Kong","5361000","7496.9810"
"Hungary","5300000","9660.3510"
"Dominican Republic","5100000","10847.9100"
"Libya","5094000","6871.2920"
"Greece","5000000","10423.0540"
"Ghana","4900000","31072.9400"
"Ivory Coast","4758000","26378.2740"
"Czech Republic","4600000","10708.9810"
"Singapore","4470000","5850.3420"
"Tanzania","4271000","59734.2180"
"Kuwait","4093000","4270.5710"
"Lebanon","3967000","6825.4450"
"Belarus","3850000","9449.3230"
"Afghanistan","3848400","38928.3460"
"Denmark","3700000","5792.2020"
"Switzerland","3700000","8654.6220"
"Austria","3700000","9006.3980"
"Senegal","3408000","16743.9270"
"Norway","3400000","5421.2410"
"El Salvador","3400000","6486.2050"
"Serbia","3400000","8737.3710"
"Honduras","3400000","9904.6070"
"Bulgaria","3300000","6948.4450"
"Paraguay","3300000","7132.5380"
"Costa Rica","3200000","5094.1180"
"Slovakia","3200000","5459.6420"
"DR Congo","3117000","89561.4030"
"New Zealand","3100000","4822.2330"
"Uzbekistan","3094000","33469.2030"
"Laos","3056000","7275.5600"
"Qatar","2942000","2881.0530"
"Ireland","2700000","4937.7860"
"Finland","2700000","5540.7200"
"Cameroon","2700000","26545.8630"
"Palestine","2677000","5101.4140"
"Oman","2635400","5106.6260"
"Yemen","2552100","29825.9640"
"Georgia","2524000","3989.1670"
"Nicaragua","2500000","6624.5540"
"Uganda","2471000","45741.0070"
"Mozambique","2448000","31255.4350"
"Kyrgyzstan","2418000","6524.1950"
"Uruguay","2400000","3473.7300"
"Madagascar","2317000","27691.0180"
"Zambia","2253000","18383.9550"
"Angola","2244000","32866.2720"
"Mongolia","2233000","3278.2900"
"Puerto Rico","2100000","2860.8530"
"Guinea","2008000","13132.7950"
"Panama","2000000","4314.7670"
"Azerbaijan","1854000","10139.1770"
"Croatia","1800000","4105.2670"
"Haiti","1800000","11402.5280"
"Mali","1670100","20250.8330"
"Somalia","1666500","15893.2220"
"Bosnia and Herzegovina","1500000","3280.8190"
"Lithuania","1400000","2722.2890"
"Albania","1400000","2877.7970"
"Bahrain","1352500","1701.5750"
"China","1330000","1439323.7760"
"Sudan","1300000","43849.2600"
"Armenia","1252000","2963.2430"
"Jamaica","1100000","2961.1670"
"Zimbabwe","994000","14862.9240"
"Benin","920000","12123.2000"
"Slovenia","910000","2078.9380"
"Cyprus","870000","1207.3590"
"Mauritius","852000","1271.7680"
"Burkina Faso","840000","20903.2730"
"Botswana","830000","2351.6270"
"Moldova","800000","4033.9630"
"Mauritania","796900","4649.6580"
"Gabon","743000","2225.7340"
"Latvia","740000","1886.1980"
"Republic of the Congo","732800","5518.0870"
"Trinidad and Tobago","700000","1399.4880"
"Sierra Leone","693400","7976.9830"
"Namibia","692400","2540.9050"
"Papua New Guinea","670000","8947.0240"
"Togo","658100","8278.7240"
"Tajikistan","645500","9537.6450"
"Estonia","620000","1326.5350"
"Rwanda","592400","12952.2180"
"Reunion","544000","895.3120"
"Liberia","537000","5057.6810"
"Malawi","500200","19129.9520"
"Niger","500200","24206.6440"
"Fiji","470000","896.4450"
"Burundi","450000","11890.7840"
"Lesotho","445600","2142.2490"
"Bhutan","413100","771.6080"
"Macau","406900","649.3350"
"Brunei","400200","437.4790"
"Timor-Leste","390000","1318.4450"
"Maldives","375100","540.5440"
"Gambia","370100","2416.6680"
"Guyana","360000","786.5520"
"Chad","328000","16425.8640"
"Malta","320000","441.5430"
"Luxembourg","320000","625.9780"
"Montenegro","320000","628.0660"
"Suriname","310000","586.6320"
"South Sudan","282901","11193.7250"
"Swaziland","255200","1160.1640"
"Iceland","250000","341.2430"
"Cape Verde","240000","555.9870"
"Bahamas","220000","393.2440"
"Guadeloupe","220000","400.1240"
"Djibouti","211700","988"
"Belize","200000","397.6280"
"Comoros","178500","869.6010"
"Martinique","170000","375.2650"
"Barbados","160000","287.3750"
"French Polynesia","150000","280.9080"
"New Caledonia","150000","285.4980"
"Guinea-Bissau","140000","1968.0010"
"Central African Republic","122100","4829.7670"
"Curacao","120000","164.0930"
"Guam","110000","168.7750"
"French Guiana","110000","298.6820"
"Equatorial Guinea","100600","1402.9850"
"Samoa","94000","198.4140"
"Saint Lucia","92000","183.6270"
"Mayotte","91400","272.8150"
"Aruba","91000","106.7660"
"Seychelles","71000","98.3470"
"Turkmenistan","67200","6031.2000"
"Vanuatu","63000","307.1450"
"Antigua and Barbuda","62000","97.9290"
"Grenada","62000","112.5230"
"Saint Vincent and the Grenadines","61000","110.9400"
"Sao Tome and Principe","58400","219.1590"
"Tonga","54000","105.6950"
"Isle of Man","50000","85.0330"
"Cayman Islands","48000","65.7220"
"Andorra","42000","77.2650"
"Bermuda","39000","62.2780"
"Dominica","39000","71.9860"
"Greenland","38000","56.7700"
"Northern Mariana Islands","36000","57.5590"
"Saint Kitts and Nevis","35000","53.1990"
"Faroe Islands","33000","48.8630"
"Sint Maarten","31000","42.8760"
"Kiribati","30000","119.4490"
"Western Sahara","27000","597.3390"
"Turks and Caicos Islands","25000","38.7170"
"Gibraltar","23000","33.6910"
"American Samoa","22000","55.1910"
"United States Virgin Islands","22000","104.4250"
"Eritrea","21900","3546.4210"
"Micronesia","21000","115.0230"
"Marshall Islands","20000","59.1900"
"Saint Martin","15000","38.6660"
"Liechtenstein","14000","38.1280"
"North Korea","14000","25778.8160"
"Monaco","13000","39.2420"
"British Virgin Islands","12000","30.2310"
"Anguilla","9000","15.0030"
"Cook Islands","8600","17.5640"
"San Marino","7900","33.9310"
"Palau","5800","18.0940"
"Nauru","3400","10.8240"
"Wallis and Futuna","3400","11.2390"
"Falkland Islands","3100","3.4800"
"Montserrat","2600","4.9920"
"Tuvalu","1700","11.7920"
"Niue","820","1.6260"
"Tokelau","410","1.3570"
"Vatican City","20","0.8010"
"Cuba","","11326.6160"
